Timestamp,Total_Frames,Dominant_Emotion,Happy_Percent,Sad_Percent,Neutral_Percent
2025-11-04 09:19:07.035854,54,Neutral,7.4074074074074066,12.962962962962962,74.07407407407408
2025-11-04 09:19:12.041848,46,Neutral,6.521739130434782,10.869565217391305,67.3913043478261
2025-11-04 09:19:17.092590,43,Neutral,4.651162790697675,32.55813953488372,60.46511627906976
2025-11-04 09:19:22.258639,58,Neutral,0.0,20.689655172413794,74.13793103448276
2025-11-04 09:19:27.346157,32,Happy,53.125,31.25,9.375
2025-11-04 09:19:32.466597,47,Happy,34.04255319148936,25.53191489361702,23.404255319148938
2025-11-04 09:19:37.509994,41,Happy,46.34146341463415,17.073170731707318,7.317073170731707
2025-11-04 09:19:42.556334,38,Sad,31.57894736842105,42.10526315789473,0.0
2025-11-04 09:19:47.567583,41,Happy,87.8048780487805,4.878048780487805,7.317073170731707
2025-11-04 09:19:52.647256,42,Sad,45.23809523809524,50.0,0.0
